"Team","Record","ELO","Rank","ELO Delta"
"South Carolina","29-0",1990.47,1,NA
"Connecticut","25-5",1830.42,2,NA
"Ohio State","24-4",1821.99,3,NA
"Gonzaga","29-2",1798.51,4,5
"LSU","26-4",1794.33,5,-1
"Texas","27-4",1792.23,6,NA
"Iowa","26-4",1791.83,7,-2
"Stanford","26-4",1782.91,8,NA
"Notre Dame","23-6",1777.73,9,-2
"Indiana","24-4",1770.12,10,NA
"Creighton","24-4",1754.9,11,1
"UCLA","24-5",1747.64,12,-1
"Oklahoma","21-8",1738.95,13,3
"USC","23-5",1737.61,14,-1
"Virginia Tech","23-6",1736.09,15,NA
"North Carolina State","25-5",1730.2,16,-2
"Baylor","23-6",1717.11,17,NA
"Ole Miss","22-7",1709.68,18,NA
"UNLV","26-2",1706.42,19,NA
"Drake","24-5",1700.3,20,2
"Kansas","18-11",1697.01,21,2
"Oregon State","23-6",1689.91,22,-1
"Columbia","21-5",1688.53,23,1
"Toledo","22-4",1685.48,24,1
"South Dakota State","22-5",1685.33,25,1
"Alabama","23-8",1685.13,26,-6
"Fairfield","25-1",1679.66,27,NA
"Middle Tennessee","24-4",1676.17,28,NA
"Princeton","22-4",1668.02,29,4
"VCU","25-4",1667.21,30,-1
"Duke","19-10",1656.8,31,3
"Utah","19-9",1656.14,32,5
"Syracuse","23-6",1654.84,33,-2
"FGCU","24-4",1653.71,34,6
"Michigan State","22-7",1650.71,35,3
"Kansas State","24-6",1650.34,36,-6
"Richmond","26-5",1649.06,37,2
"Iowa State","18-10",1648.39,38,-6
"Tennessee","17-11",1643.65,39,-4
"Louisville","23-8",1637.04,40,-4
"Cleveland State","27-4",1628.63,41,NA
"West Virginia","23-6",1621.57,42,1
"Ball State","24-4",1610.13,43,2
"Marshall","21-6",1610.12,44,7
"Saint Joseph's","26-4",1609.64,45,3
"Belmont","22-7",1607.35,46,1
"North Carolina","19-11",1605.85,47,-3
"Florida State","21-9",1600.86,48,-2
"Auburn","19-10",1592.26,49,NA
"Vanderbilt","22-8",1586.99,50,-8
"Stony Brook","23-3",1586.99,51,1
"Colorado","21-8",1578.68,52,-2
"Eastern Washington","24-5",1576.89,53,4
"California Baptist","24-3",1568.62,54,NA
"Santa Clara","22-7",1558.85,55,3
"George Mason","22-6",1554.64,56,7
"Jackson State","18-6",1549.97,57,10
"Tulsa","23-8",1548.43,58,7
"Marquette","22-7",1548,59,-6
"Troy","19-10",1545.51,60,NA
"Maryland","17-12",1543.73,61,-6
"Arizona","16-14",1543.63,62,-3
"Nebraska","19-10",1542.29,63,-7
"Missouri State","20-7",1540.31,64,-3
"Virginia","15-14",1535.91,65,1
"Lamar","20-5",1528.25,66,4
"Green Bay","23-6",1525.97,67,-5
"Villanova","18-11",1524.73,68,-4
"Hawaii","18-9",1517.26,69,2
"Chattanooga","23-4",1508.53,70,3
"Mississippi State","21-10",1503.59,71,-2
"Washington State","18-13",1500.22,72,-4
"Monmouth","18-8",1499.43,73,8
"Northern Arizona","22-8",1498.76,74,11
"Temple","18-11",1493.47,75,2
"Maine","21-9",1491.14,76,NA
"Illinois","14-14",1490.83,77,6
"North Texas","21-7",1486.96,78,2
"Grand Canyon","23-6",1484.41,79,-1
"Old Dominion","20-8",1482.26,80,-5
"Michigan","18-12",1481.05,81,-9
"Saint John's","17-13",1479.27,82,2
"TCU","18-10",1475.05,83,-4
"North Dakota State","17-10",1472.14,84,5
"Norfolk State","22-5",1471.65,85,14
"Duquesne","18-11",1470.71,86,5
"Miami (FL)","18-11",1470.13,87,-5
"Texas A&M","18-11",1468.56,88,-14
"James Madison","20-10",1467.37,89,-2
"Northern Iowa","13-14",1467.32,90,2
"Penn State","18-11",1466.73,91,-1
"Washington","16-13",1460.75,92,-6
"Liberty","13-14",1460.56,93,8
"Illinois State","18-9",1459.18,94,2
"California","17-13",1455.89,95,-7
"Kent State","16-8",1452.84,96,2
"Oklahoma State","14-15",1449.95,97,NA
"Montana","20-8",1448.38,98,7
"Niagara","17-12",1446.16,99,10
"Southern Indiana","20-6",1445.46,100,14
"Georgetown","19-10",1444.92,101,-6
"Albany","23-5",1444.14,102,-2
"Memphis","13-15",1442.06,103,3
"Towson","18-9",1441.44,104,-10
"BYU","16-15",1437.09,105,-3
"Arkansas","18-13",1436.23,106,-13
"Stephen F. Austin","17-10",1431.79,107,1
"UC Irvine","19-8",1431.42,108,4
"High Point","17-10",1428.46,109,6
"Oral Roberts","16-9",1422.82,110,NA
"Seton Hall","16-13",1421.77,111,-8
"Georgia Tech","16-14",1421.61,112,-5
"Murray State","17-9",1418.74,113,-9
"North Carolina A&T","16-9",1413.57,114,5
"New Mexico","19-10",1411.22,115,3
"Charleston","17-8",1409.5,116,NA
"Grambling State","16-8",1408.3,117,5
"San Francisco","13-15",1406.9,118,3
"Davidson","18-8",1406.72,119,-6
