Team,Wins,Losses,ELO,Conference,Region
Abilene Christian,9,13,1228.43,WAC,West
Air Force,7,17,1198.84,Mountain West,West
Akron,6,14,1251.98,MAC,Midwest
Alabama,17,10,1553.88,SEC,South
Alabama A&M,10,7,1257.36,SWAC,South
Alabama State,16,4,1359.34,SWAC,South
Albany,7,11,1181.83,MAAC,East
Alcorn State,7,13,1118.73,SWAC,South
American,7,4,1304.43,Patriot,East
Appalachian State,15,12,1359.53,Sun Belt,South
Arizona,21,6,1787.34,Pac-12,West
Arizona State,12,12,1453.58,Pac-12,West
Arkansas,19,9,1604.46,SEC,South
Arkansas-Pine Bluff,3,18,981.73,SWAC,South
Arkansas State,5,12,1111.8,Sun Belt,South
Army,9,11,1245.55,Patriot,East
Auburn,5,19,1212.97,SEC,South
Austin Peay,11,11,1252.97,ASUN,South
Ball State,14,11,1416.48,MAC,Midwest
Baylor,28,3,1844.63,Big 12,South
Bellarmine,5,17,1080.54,ASUN,South
Belmont,21,6,1587.41,MVC,Midwest
Bethune-Cookman,0,0,1410.3,SWAC,South
Binghamton,5,11,1216.72,America East,East
Boise State,13,9,1360.77,Mountain West,West
Boston College,7,12,1411.77,ACC,East
Boston University,12,3,1462.48,Patriot,East
Bowling Green,21,8,1478.16,MAC,Midwest
Bradley,16,12,1460.47,MVC,Midwest
Brown,0,0,1188,Ivy League,East
Bryant,7,14,1069.55,America East,East
Bucknell,9,1,1553.54,Patriot,East
Buffalo,15,9,1458.27,MAC,Midwest
Butler,3,17,1249.43,Big East,East
BYU,19,6,1566.3,Big 12,South
Cal Poly,13,11,1258.03,Big West,West
Cal State Bakersfield,9,9,1220.63,Big West,West
Cal State Fullerton,3,18,1076.41,Big West,West
Cal State Northridge,0,0,1206.2,Big West,West
California,1,16,1247.26,Pac-12,West
California Baptist,24,1,1536.37,WAC,West
Campbell,16,7,1385.89,CAA,East
Canisius,0,5,1064.71,MAAC,East
Central Arkansas,13,14,1307.5,ASUN,South
Central Connecticut,4,14,993.99,NEC,East
Central Michigan,18,9,1535.21,MAC,Midwest
Charleston,5,9,1166.65,CAA,East
Charleston Southern,5,17,993.01,Big South,South
Charlotte,10,12,1346.95,AAC,East
Chattanooga,14,10,1280.84,SoCon,South
Chicago State,0,14,921.26,NEC,East
Cincinnati,8,16,1348.17,Big 12,South
Clemson,12,14,1379.74,ACC,East
Cleveland State,13,9,1392.57,Horizon,Midwest
Coastal Carolina,1,15,1144.55,Sun Belt,South
Colgate,1,8,1177.22,Patriot,East
