"Team","Wins","Losses","ELO","Conference","Region"
"Abilene Christian",13,13,1300.48,"WAC","West"
"Air Force",17,14,1483.62,"Mountain West","West"
"Akron",16,12,1502.08,"MAC","Midwest"
"Alabama",20,14,1702.17,"SEC","South"
"Alabama A&M",15,14,1395.34,"SWAC","South"
"Alabama State",14,15,1396.13,"SWAC","South"
"Albany",22,10,1510.59,"MAAC","East"
"Alcorn State",2,22,1022.6,"SWAC","South"
"American",23,9,1608.74,"Patriot","East"
"Appalachian State",12,12,1422.28,"Sun Belt","South"
"Arizona",21,8,1746.84,"Pac-12","West"
"Arizona State",12,14,1536.86,"Pac-12","West"
"Arkansas",18,14,1648.4,"SEC","South"
"Arkansas-Pine Bluff",12,16,1252.35,"SWAC","South"
"Arkansas State",9,16,1240.08,"Sun Belt","South"
"Army",15,13,1400.55,"Patriot","East"
"Auburn",10,18,1428.62,"SEC","South"
"Austin Peay",18,13,1390.95,"ASUN","South"
"Ball State",20,13,1570.8,"MAC","Midwest"
"Baylor",28,7,1879.13,"Big 12","South"
"Bellarmine",2,24,1056.48,"ASUN","South"
"Belmont",23,8,1685.58,"MVC","Midwest"
"Bethune-Cookman",4,21,1173.1,"SWAC","South"
"Binghamton",7,20,1192.52,"America East","East"
"Boise State",6,21,1206.44,"Mountain West","West"
"Boston College",21,12,1657.64,"ACC","East"
"Boston University",17,14,1472.42,"Patriot","East"
"Bowling Green",16,16,1490.58,"MAC","Midwest"
"Bradley",3,23,1215.06,"MVC","Midwest"
"Brown",5,20,1152.35,"Ivy League","East"
"Bryant",9,22,1224.97,"America East","East"
"Bucknell",24,10,1582.58,"Patriot","East"
"Buffalo",25,9,1703.36,"MAC","Midwest"
"Butler",1,27,1115.87,"Big East","East"
"BYU",26,4,1791.2,"Big 12","South"
"Cal Poly",3,22,1129.09,"Big West","West"
"Cal State Bakersfield",4,20,1201.09,"Big West","West"
"Cal State Fullerton",11,18,1235.01,"Big West","West"
"Cal State Northridge",7,19,1194.98,"Big West","West"
"California",10,13,1402.39,"Pac-12","West"
"California Baptist",23,9,1508.92,"WAC","West"
"Campbell",20,8,1518.16,"CAA","East"
"Canisius",6,25,1132.72,"MAAC","East"
"Central Arkansas",6,19,1176.5,"ASUN","South"
"Central Connecticut",6,20,1113.83,"NEC","East"
"Central Michigan",4,25,1209.41,"MAC","Midwest"
"Charleston",16,13,1442.83,"CAA","East"
"Charleston Southern",2,26,996.38,"Big South","South"
"Charlotte",22,10,1666.91,"AAC","East"
"Chattanooga",7,23,1145,"SoCon","South"
"Chicago State",4,23,1069.61,"NEC","East"
"Cincinnati",11,17,1401.27,"Big 12","South"
"Clemson",10,21,1450.08,"ACC","East"
"Cleveland State",19,9,1546.02,"Horizon","Midwest"
"Coastal Carolina",12,11,1326.41,"Sun Belt","South"
"Colgate",6,24,1155.06,"Patriot","East"
"Colorado",22,9,1733.96,"Pac-12","West"
"Colorado State",19,12,1479.5,"Mountain West","West"
"Columbia",25,7,1681.22,"Ivy League","East"
"Connecticut",30,6,1994.48,"Big East","East"
"Coppin State",15,13,1294.5,"MEAC","South"
"Cornell",8,16,1267.01,"Ivy League","East"
"Creighton",23,10,1749.38,"Big East","East"
"Dartmouth",3,23,1156.64,"Ivy League","East"
"Davidson",18,15,1454,"Atlantic 10","East"
"Dayton",26,6,1750.63,"Atlantic 10","East"
"Delaware",23,8,1687.15,"CAA","East"
"Delaware State",0,24,970.38,"MEAC","South"
"Denver",8,20,1256.34,"Summit League","Midwest"
"DePaul",22,11,1642.63,"Big East","East"
"Detroit",1,27,995.76,"Horizon","Midwest"
"Dixie State",6,19,1204.76,NA,NA
"Drake",19,14,1583.35,"MVC","Midwest"
"Drexel",28,6,1690.93,"CAA","East"
"Duke",17,13,1580.77,"ACC","East"
"Duquesne",11,18,1332.4,"Atlantic 10","East"
"East Carolina",11,18,1346.61,"AAC","East"
"East Tennessee State",6,22,1161.38,"SoCon","South"
"Eastern Illinois",14,14,1378.99,"OVC","Midwest"
"Eastern Kentucky",11,16,1306.37,"ASUN","South"
"Eastern Michigan",6,20,1272.35,"MAC","Midwest"
"Eastern Washington",7,21,1227.25,"Big Sky","West"
"Elon",17,12,1468.07,"CAA","East"
"Evansville",7,22,1161.6,"MVC","Midwest"
"Fairfield",25,7,1647.21,"MAAC","East"
"Fairleigh Dickinson",19,12,1408.16,"NEC","East"
"FAU",3,25,1153.15,"AAC","East"
"FGCU",27,3,1808.48,"ASUN","South"
"FIU",12,16,1351.74,"C-USA","South"
"Florida",21,11,1697.9,"SEC","South"
"Florida A&M",3,24,1041.59,"SWAC","South"
"Florida State",17,14,1684.63,"ACC","East"
"Fordham",18,11,1546.18,"Atlantic 10","East"
"Fresno State",9,18,1327.13,"Mountain West","West"
"Furman",18,14,1385.25,"SoCon","South"
"Gardner-Webb",16,15,1419.42,"Big South","South"
"George Mason",10,19,1285.71,"Atlantic 10","East"
"George Washington",12,18,1374.74,"Atlantic 10","East"
"Georgetown",9,19,1319.24,"Big East","East"
"Georgia",21,10,1739.58,"SEC","South"
"Georgia Southern",15,10,1406.07,"Sun Belt","South"
"Georgia State",8,16,1268.05,"Sun Belt","South"
"Georgia Tech",21,11,1673.63,"ACC","East"
"Gonzaga",27,7,1807.33,"WCC","West"
"Grambling State",14,17,1323.83,"SWAC","South"
"Grand Canyon",20,10,1509.6,"WAC","West"
"Green Bay",19,8,1585.67,"Horizon","Midwest"
"Hampton",13,16,1304.95,"CAA","East"
"Hartford",4,26,1081.97,NA,NA
"Harvard",13,14,1426.96,"Ivy League","East"
"Hawaii",20,10,1570.39,"Big West","West"
"High Point",15,14,1422.77,"Big South","South"
"Hofstra",7,20,1265.56,"CAA","East"
"Holy Cross",19,11,1493.01,"Patriot","East"
"Houston",18,16,1618.43,"Big 12","South"
"Houston Baptist",13,11,1352.26,NA,NA
"Howard",20,10,1503.7,"MEAC","South"
"Idaho",13,18,1433.96,"Big Sky","West"
"Idaho State",17,12,1471.66,"Big Sky","West"
"Illinois",7,20,1280.38,"Big Ten","Midwest"
"Illinois State",18,14,1583.11,"MVC","Midwest"
"Incarnate Word",11,17,1264.05,"Southland","South"
"Indiana",24,9,1825.57,"Big Ten","Midwest"
"Indiana State",10,20,1258.08,"MVC","Midwest"
"Iona",11,16,1273.59,"MAAC","East"
"Iowa",24,8,1860.38,"Big Ten","Midwest"
"Iowa State",28,7,1836.49,"Big 12","South"
"IUPUI",24,5,1717.66,"Horizon","Midwest"
"Jackson State",23,7,1625.52,"SWAC","South"
"Jacksonville",12,13,1344.07,"ASUN","South"
"Jacksonville State",22,8,1556.7,"OVC","Midwest"
"James Madison",14,15,1471.58,"Sun Belt","South"
"Kansas",21,10,1704.43,"Big 12","South"
"Kansas State",20,13,1645.08,"Big 12","South"
"Kennesaw State",8,19,1225.83,"ASUN","South"
"Kent State",17,12,1516.43,"MAC","Midwest"
"Kentucky",19,12,1811.47,"SEC","South"
"La Salle",16,12,1454.48,"Atlantic 10","East"
"Lafayette",12,18,1340.82,"Patriot","East"
"Lamar",12,15,1322.84,"Southland","South"
"Lehigh",18,11,1461.27,"Patriot","East"
"Liberty",25,5,1644.26,"C-USA","South"
"Lipscomb",6,20,1204.26,"ASUN","South"
"Little Rock",15,10,1495.2,"OVC","Midwest"
"Long Beach State",18,9,1411.39,"Big West","West"
"Long Island",9,18,1270.31,"NEC","East"
"Longwood",22,12,1575.71,"Big South","South"
"Louisiana",15,7,1542.78,"Sun Belt","South"
"Louisiana Tech",19,12,1551.5,"C-USA","South"
"Louisville",29,5,1941.27,"ACC","East"
"Loyola-Chicago",17,12,1500,"MVC","Midwest"
"Loyola-Maryland",5,24,1105.28,"Patriot","East"
"Loyola-Marymount",10,19,1331.82,"WCC","West"
"LSU",26,6,1854.16,"SEC","South"
"Maine",20,12,1534.96,"America East","East"
"Manhattan",21,11,1489.28,"MAAC","East"
"Marist",8,21,1186.05,"MAAC","East"
"Marquette",23,11,1680.9,"Big East","East"
"Marshall",13,13,1465.9,"Sun Belt","South"
"Maryland",23,9,1845.16,"Big Ten","Midwest"
"Maryland Eastern Shore",9,16,1269.05,"MEAC","South"
"McNeese",10,15,1226.26,"Southland","South"
