"Conference","Region"
"SEC","South"
"Big East","East"
"Big 12","South"
"Pac-12","West"
"Big Ten","West"
"Pac-12","West"
"Big Ten","West"
"ACC","East"
"Pac-12","West"
"SEC","South"
"WCC","West"
"Big Ten","West"
"Pac-12","West"
"Big 12","South"
"ACC","East"
"Big 12","South"
"ACC","East"
"Pac-12","West"
"Pac-12","West"
"ACC","East"
"Big Ten","West"
"Big 12","South"
"ACC","East"
"Big East","East"
"Pac-12","West"
"Big Ten","West"
"Big 12","South"
"Mountain West","West"
"SEC","South"
"Big Ten","West"
"Ivy League","East"
"ACC","East"
"SEC","South"
"SEC","South"
"Big Ten","West"
"Pac-12","West"
"Big 12","South"
"Big East","East"
"CUSA","South"
"Big 12","South"
"Pac-12","West"
"ACC","East"
"SEC","South"
"Big 12","South"
"SEC","South"
"SEC","South"
"ACC","East"
"Big Ten","West"
"Big East","East"
"ACC","East"
"Big Ten","West"
"Summit League","Southwest"
"ASUN","South"
"Horizon","Southwest"
"Atlantic 10","East"
"SEC","South"
"Ivy League","East"
"Big 12","South"
"Atlantic 10","East"
"ACC","East"
"SEC","South"
"Pac-12","West"
"Atlantic 10","East"
"Big Ten","West"
"Big East","East"
"Atlantic 10","East"
"CAA","East"
"MAC","South"
"MVC","Southwest"
"ACC","East"
"WCC","West"
"Big Ten","West"
"MVC","Southwest"
"SEC","South"
"MAC","South"
"Sun Belt","South"
"Big 12","South"
"Big Sky","West"
"Big 12","South"
"Big East","East"
"Horizon","Southwest"
"MAAC","East"
"Atlantic 10","East"
"Atlantic 10","East"
"SEC","South"
"AAC","South"
"ACC","East"
"ACC","East"
"Big 12","South"
"WAC","West"
"Ivy League","East"
"Big East","East"
"Big 12","South"
"SEC","South"
"Pac-12","West"
"AAC","South"
"Big Sky","West"
"Big 12","South"
"SWAC","Southwest"
"Big East","East"
"MVC","Southwest"
"Mountain West","West"
"MVC","Southwest"
"SoCon","South"
"AAC","South"
"Summit League","Southwest"
"Sun Belt","South"
"MVC","Southwest"
"AAC","South"
"Sun Belt","South"
"AAC","South"
"America East","East"
"Pac-12","West"
"AAC","South"
"Mountain West","West"
"WCC","West"
"MAC","South"
"MEAC","East"
"Big Sky","West"
"MVC","Southwest"
"Big East","East"
"Sun Belt","South"
"Big Ten","West"
"AAC","South"
"Southland","South"
"Big East","East"
"AAC","South"
"WAC","West"
"AAC","South"
"Atlantic 10","East"
"Summit League","Southwest"
"ACC","East"
"Mountain West","West"
"CUSA","South"
"Sun Belt","South"
"America East","East"
"AAC","South"
"CAA","East"
"Summit League","Southwest"
"Big West","West"
"Sun Belt","South"
"Big West","West"
"Big West","West"
"WCC","West"
"WAC","West"
"Horizon","Southwest"
"CAA","East"
"ASUN","South"
"Mountain West","West"
"Big Sky","West"
"SEC","South"
"CAA","East"
"Mountain West","West"
"WCC","West"
"Big Ten","West"
"America East","East"
"AAC","South"
"MVC","Southwest"
"OVC","Southwest"
"Atlantic 10","East"
"ACC","East"
"Ivy League","East"
"Atlantic 10","East"
"Sun Belt","South"
"Ivy League","East"
"AAC","South"
"Big Sky","West"
"Sun Belt","South"
"CAA","East"
"CUSA","South"
"MAC","South"
"CAA","East"
"CUSA","South"
"SoCon","South"
"ASUN","South"
"Big Sky","West"
"SWAC","Southwest"
"Sun Belt","South"
"CAA","East"
"Southland","South"
"Atlantic 10","East"
"Southland","South"
"CUSA","South"
"Atlantic 10","East"
"MAC","South"
"Big West","West"
"WAC","West"
"Patriot","East"
"ASUN","South"
"ASUN","South"
"MAAC","East"
"Mountain West","West"
"Mountain West","West"
"CAA","East"
"Big Ten","West"
"WAC","West"
"Horizon","Southwest"
"SoCon","South"
"Horizon","Southwest"
"CAA","East"
"SoCon","South"
"Sun Belt","South"
"WCC","West"
"WAC","West"
"Big Sky","West"
"Southland","South"
"Big West","West"
"Big West","West"
"Mountain West","West"
"Sun Belt","South"
"MVC","Southwest"
"Sun Belt","South"
"WCC","West"
"OVC","Southwest"
"SWAC","Southwest"
"AAC","South"
"Patriot","East"
"SoCon","South"
"Big West","West"
"SWAC","Southwest"
"WCC","West"
"MAAC","East"
"AAC","South"
"CUSA","South"
"OVC","Southwest"
"Sun Belt","South"
"CUSA","South"
"NEC","East"
"MEAC","East"
"MEAC","East"
"Patriot","East"
"Horizon","Southwest"
"America East","East"
"Horizon","Southwest"
"Big West","West"
"Horizon","Southwest"
"OVC","Southwest"
"MAC","South"
"OVC","Southwest"
"Summit League","Southwest"
"OVC","Southwest"
"MAAC","East"
"Big West","West"
"ASUN","South"
"MAAC","East"
"MVC","Southwest"
"SWAC","Southwest"
"Patriot","East"
"Ivy League","East"
"MAC","South"
"ASUN","South"
"Atlantic 10","East"
"Horizon","Southwest"
"MAC","South"
"CUSA","South"
"SoCon","South"
"SoCon","South"
"OVC","Southwest"
"ASUN","South"
"Summit League","Southwest"
"Ivy League","East"
"Patriot","East"
"Southland","South"
"Big South","South"
"ASUN","South"
"MAC","South"
"SWAC","Southwest"
"NEC","East"
"Summit League","Southwest"
"MEAC","East"
"Southland","South"
"Southland","South"
"WAC","West"
"Patriot","East"
"WAC","West"
"Southland","South"
"MAAC","East"
"WAC","West"
"America East","East"
"MAAC","East"
"Horizon","Southwest"
"Mountain West","West"
"ASUN","South"
"Big Sky","West"
"Atlantic 10","East"
"Atlantic 10","East"
"CAA","East"
"Summit League","Southwest"
"Summit League","Southwest"
"ASUN","South"
"Big West","West"
"Atlantic 10","East"
"MAAC","East"
"CUSA","South"
"MAC","South"
"America East","East"
"WAC","West"
"Big South","South"
"OVC","Southwest"
"America East","East"
"Patriot","East"
"OVC","Southwest"
"Big Sky","West"
"MVC","Southwest"
"CAA","East"
"America East","East"
"Sun Belt","South"
"Patriot","East"
"MEAC","East"
"Big South","South"
"WAC","West"
"CAA","East"
"Patriot","East"
"Big South","South"
"MAC","South"
"SWAC","Southwest"
"Big South","South"
"NEC","East"
"NEC","East"
"Patriot","East"
"Big East","East"
"MAC","South"
"SWAC","Southwest"
"MEAC","East"
"OVC","Southwest"
"MAAC","East"
"Big South","South"
"Big Sky","West"
"OVC","Southwest"
"Horizon","Southwest"
"Ivy League","East"
"MVC","Southwest"
"MAAC","East"
"SWAC","Southwest"
"CAA","East"
"Big South","South"
"WCC","West"
"Big South","South"
"America East","East"
"NEC","East"
"MVC","Southwest"
"Big West","West"
"SWAC","Southwest"
"Mountain West","West"
"ASUN","South"
"MAAC","East"
"SWAC","Southwest"
"Big South","South"
"Southland","South"
"SoCon","South"
"MEAC","East"
"CAA","East"
"Southland","South"
"NEC","East"
"SWAC","Southwest"
"MEAC","East"
"NEC","East"
"DI Independent","South"
"NEC","East"
"NEC","East"
