Team,Wins,Losses,ELO,Rank,NET.Rank,SOS.Rank,Non.Conf.SOS.Rank,Conference,Region,SOS,Ranking.Estimate.1
Abilene Christian,10,14,1246.48,214,187,286,214,WAC,West,0.4832,961.0666667
Air Force,13,16,1279.69,194,191,129,142,Mountain West,West,0.4913,976.1903448
Akron,10,17,1220.09,233,250,302,343,MAC,South,0.4807,942.4296296
Alabama,23,8,1685.13,26,28,65,156,SEC,South,0.5688,1137.610323
Alabama A&M,14,13,1257.22,207,267,334,284,SWAC,Southwest,0.4101,970.1155556
Alabama State,3,24,921.08,350,355,99,12,NA,South,0.461,840.9777778
Albany,23,5,1444.14,102,157,305,273,NA,East,0.4248,1079.154286
Alcorn State,7,19,1075.81,307,323,117,23,NA,NA,0.4506,897.0523077
American,9,19,1085.57,304,301,346,307,Patriot,East,0.4772,922.7085714
Appalachian State,16,14,1386.78,128,165,204,199,NA,East,0.5287,1025.578667
Arizona,16,14,1543.63,62,36,2,43,Pac-12,West,0.6081,1059.456
Arizona State,11,19,1317.17,166,112,8,207,NA,Southwest,0.6124,979.6373333
Arkansas,18,13,1436.23,106,74,58,112,SEC,South,0.5803,1069.55871
Arkansas-Pine Bluff,14,13,1259.29,204,177,153,47,NA,South,0.4443,984.3022222
Arkansas State,12,16,1177.39,258,168,276,309,NA,South,0.4978,970.6742857
Army,10,15,1220.05,234,308,348,290,NA,NA,0.4609,947.488
Auburn,19,10,1592.26,49,43,57,256,SEC,South,0.5659,1096.609655
Austin Peay,13,14,1237.4,221,189,328,329,ASUN,South,0.472,981.8074074
Ball State,24,4,1610.13,43,75,161,96,NA,NA,0.4822,1130.651429
Baylor,23,6,1717.11,17,16,42,165,Big 12,South,0.5652,1158.609655
Bellarmine,8,18,1150.55,272,283,179,95,ASUN,South,0.4779,917.6369231
Belmont,22,7,1607.35,46,69,101,35,MVC,Southwest,0.5233,1117.588966
Bethune-Cookman,12,15,1069.48,312,247,320,282,SWAC,Southwest,0.4223,950.1511111
Binghamton,11,16,1227.12,229,232,357,360,America East,East,0.4513,947.0903704
Boise State,17,11,1344.19,153,131,208,289,NA,West,0.4769,1031.637143
Boston College,13,18,1365.36,139,87,46,179,ACC,East,0.5438,982.436129
Boston University,17,10,1336.21,156,230,306,209,NA,East,0.4628,1033.114074
Bowling Green,15,12,1361.68,141,171,100,33,MAC,South,0.5298,1035.466667
Bradley,5,23,960.83,339,332,259,352,MVC,Southwest,0.4625,866.0714286
Brown,14,11,1301.81,181,166,131,295,Ivy League,East,0.5074,1027.3152
Bryant,13,14,1225.26,231,281,332,327,America East,East,0.4541,974.9125926
Bucknell,12,16,1320.9,163,275,178,64,Patriot,East,0.4883,967.4171429
Buffalo,15,11,1365.79,137,186,291,333,MAC,South,0.4899,1026.107692
Butler,13,15,1331.24,159,128,77,234,Big East,East,0.5184,992.5485714
BYU,16,15,1437.09,105,79,64,228,Big 12,South,0.541,1023.380645
Cal Poly,16,11,1348.57,151,143,124,25,Big West,West,0.4654,1020.634074
Cal State Bakersfield,7,20,1026.26,325,290,330,296,NA,West,0.4387,890.9896296
Cal State Fullerton,10,18,1120.89,287,241,269,173,NA,West,0.4713,934.6571429
Cal State Northridge,3,25,896.55,354,341,239,104,NA,West,0.4402,837.7314286
California,17,13,1455.89,95,62,14,128,Pac-12,West,0.5879,1066.514667
California Baptist,24,3,1568.62,54,129,356,355,WAC,West,0.424,1101.511111
Campbell,13,12,1316.78,168,200,280,291,CAA,East,0.4786,999.0976
Canisius,15,12,1257.93,205,245,331,281,MAAC,East,0.4578,1003.466667
Central Arkansas,17,10,1321.45,162,148,270,243,NA,South,0.4636,1033.517037
Central Connecticut,9,19,1069.52,311,340,216,105,NA,East,0.4232,908.8228571
Central Michigan,5,20,1103.85,300,315,231,198,NA,East,0.4701,875.216
Charleston,17,8,1409.5,116,147,292,280,NA,East,0.4635,1052.144
Charleston Southern,10,18,1148.07,273,317,319,238,NA,East,0.4371,924.8857143
Charlotte,16,14,1306.79,176,124,125,109,AAC,South,0.5082,1016.832
Chattanooga,23,4,1508.53,70,104,315,287,SoCon,South,0.5023,1142.308148
Chicago State,0,26,826.23,360,357,212,274,NA,East,0.4701,800
Cincinnati,13,16,1362.75,140,93,29,66,Big 12,South,0.5812,1008.430345
Clemson,12,18,1307.84,175,88,49,107,ACC,East,0.5586,978.752
Cleveland State,27,4,1628.63,41,81,266,242,NA,East,0.474,1130.270968
Coastal Carolina,11,20,1232.96,224,226,121,70,Sun Belt,South,0.5259,949.2877419
Colgate,15,12,1251.46,212,217,350,311,Patriot,East,0.4532,1001.422222
Colorado,21,8,1578.68,52,19,5,89,Pac-12,West,0.6104,1153.611034
Colorado State,17,10,1354.09,144,102,214,308,NA,Southwest,0.5121,1057.946667
Columbia,21,5,1688.53,23,57,107,141,Ivy League,East,0.5239,1138.52
Connecticut,25,5,1830.42,2,2,21,1,NA,East,0.6219,1214.6
Coppin State,10,17,1125.5,286,270,149,93,NA,NA,0.4584,935.8222222
Cornell,7,18,1035.04,321,261,97,159,Ivy League,East,0.5087,913.9488
Creighton,24,4,1754.9,11,24,70,37,Big East,East,0.5828,1199.634286
Dartmouth,5,18,1032.23,322,330,180,358,Ivy League,East,0.4963,886.3130435
Davidson,18,8,1406.72,119,84,118,161,Atlantic 10,East,0.5045,1079.415385
Dayton,9,18,1178.5,256,253,103,140,Atlantic 10,East,0.4978,932.7466667
Delaware,10,18,1155.69,270,193,282,255,CAA,East,0.5046,944.1714286
Delaware State,5,18,996.03,335,351,133,52,NA,East,0.4658,881.0086957
Denver,7,21,1106.82,297,260,290,350,Summit League,Southwest,0.47,894
DePaul,12,19,1241.02,219,100,71,85,Big East,East,0.5361,966.0180645
Detroit,17,15,1197.41,248,234,244,266,NA,East,0.4474,990.145
Drake,24,5,1700.3,20,73,111,55,MVC,Southwest,0.5312,1151.691034
Drexel,12,14,1305.84,177,179,228,205,CAA,East,0.516,990.5230769
Duke,19,10,1656.8,31,20,18,26,ACC,East,0.6208,1125.384828
Duquesne,18,11,1470.71,86,130,139,259,Atlantic 10,East,0.525,1060.689655
East Carolina,16,13,1351.42,147,116,105,61,AAC,South,0.5319,1034.769655
East Tennessee State,16,11,1219.81,235,176,309,303,NA,East,0.4724,1023.952593
Eastern Illinois,14,17,1196.79,249,256,316,260,NA,East,0.4216,952.32
Eastern Kentucky,18,10,1270.49,199,190,211,177,NA,East,0.4413,1026.954286
Eastern Michigan,5,21,1010.24,328,321,274,293,NA,East,0.4637,871.3384615
Eastern Washington,24,5,1576.89,53,78,256,206,NA,West,0.4639,1107.133793
Elon,9,18,1188,253,287,184,123,CAA,East,0.5037,934.32
Evansville,4,25,977.85,338,342,140,147,MVC,Southwest,0.4609,850.857931
Fairfield,25,1,1679.66,27,82,344,268,MAAC,East,0.4809,1169.923077
Fairleigh Dickinson,11,16,1204.23,245,320,201,91,NA,NA,0.4301,940.1807407
FAU,10,17,1293.62,185,216,213,246,NA,NA,0.4941,946.4
FGCU,24,4,1653.71,34,53,123,32,ASUN,South,0.4877,1134.422857
FIU,18,9,1392.47,124,173,267,341,CUSA,South,0.453,1041.6
Florida,14,14,1405.48,120,61,53,132,SEC,South,0.5752,1030.08
Florida A&M,8,20,1080.7,305,316,162,67,SWAC,Southwest,0.4408,900.7542857
Florida State,21,9,1600.86,48,47,45,58,NA,East,0.5467,1106.152
Fordham,10,16,1315.83,172,184,108,170,Atlantic 10,East,0.5229,960.8923077
Fresno State,12,16,1214.26,238,204,284,345,NA,West,0.4547,955.8971429
Furman,12,15,1183.18,255,257,335,338,SoCon,South,0.4512,960.4266667
Gardner-Webb,6,23,1039.38,319,348,261,154,Big South,South,0.4634,876.7006897
George Mason,22,6,1554.64,56,63,170,240,Atlantic 10,East,0.5143,1123.274286
George Washington,12,17,1287.5,191,181,135,285,Atlantic 10,East,0.4996,965.3848276
Georgetown,19,10,1444.92,101,92,84,348,Big East,East,0.4977,1060.863448
Georgia,12,17,1350.94,149,94,54,148,SEC,South,0.596,997.2965517
Georgia Southern,13,17,1142.84,276,213,308,354,NA,East,0.4697,962.8293333
Georgia State,13,14,1231.56,225,203,271,321,NA,East,0.49,988.7407407
Georgia Tech,16,14,1421.61,112,70,55,134,ACC,East,0.5512,1035.178667
Gonzaga,29,2,1798.51,4,11,86,18,WCC,West,0.5471,1209.442581
Grambling State,16,8,1408.3,117,215,232,83,NA,NA,0.4377,1033.44
Grand Canyon,23,6,1484.41,79,90,325,275,WAC,West,0.4549,1088.626207
Green Bay,23,6,1525.97,67,54,167,46,Horizon,Southwest,0.4941,1113.497931
Hampton,3,23,950.97,343,336,287,233,CAA,East,0.4617,842.6184615
Harvard,15,11,1400.22,122,91,89,92,Ivy League,East,0.5212,1040.553846
Hawaii,18,9,1517.26,69,142,143,30,Big West,West,0.4994,1066.346667
High Point,17,10,1428.46,109,265,200,73,Big South,South,0.4685,1035.985185
Hofstra,8,18,1036.52,320,306,326,346,CAA,East,0.4671,914.9784615
Holy Cross,15,12,1238.38,220,188,310,220,Patriot,East,0.4674,1007.733333
Houston,14,15,1360.68,143,98,52,224,Big 12,South,0.553,1013.572414
Houston Christian,2,22,852.73,359,349,150,13,Southland,South,0.4491,829.94
Howard,13,14,1328.64,161,229,304,263,MEAC,East,0.4261,964.1274074
Idaho,13,15,1241.85,217,174,297,340,Big Sky,West,0.4474,966.1771429
Idaho State,10,18,1134.78,280,205,171,111,NA,West,0.477,936.2857143
Illinois,14,14,1490.83,77,48,27,103,Big Ten,West,0.5577,1023.08
Illinois State,18,9,1459.18,94,120,132,94,NA,East,0.4792,1055.573333
Incarnate Word,15,9,1351.98,145,208,285,136,NA,NA,0.4293,1014.65
Indiana,24,4,1770.12,10,12,36,71,Big Ten,West,0.5808,1198.262857
