Team,Wins,Losses,ELO,Rank,NET.Rank,SOS.Rank,Non.Conf.SOS.Rank,Conference,Region
Abilene Christian,10,14,1246.48,214,187,286,214,WAC,West
Air Force,13,16,1279.69,194,191,129,142,Mountain West,West
Akron,10,17,1220.09,233,250,302,343,MAC,South
Alabama,23,8,1685.13,26,28,65,156,SEC,South
Alabama A&M,14,13,1257.22,207,267,334,284,SWAC,Southwest
Alabama State,3,24,921.08,350,355,99,12,NA,South
Albany,23,5,1444.14,102,157,305,273,NA,East
Alcorn State,7,19,1075.81,307,323,117,23,NA,NA
American,9,19,1085.57,304,301,346,307,Patriot,East
Appalachian State,16,14,1386.78,128,165,204,199,NA,East
Arizona,16,14,1543.63,62,36,2,43,Pac-12,West
Arizona State,11,19,1317.17,166,112,8,207,NA,Southwest
Arkansas,18,13,1436.23,106,74,58,112,SEC,South
Arkansas-Pine Bluff,14,13,1259.29,204,177,153,47,NA,South
Arkansas State,12,16,1177.39,258,168,276,309,NA,South
Army,10,15,1220.05,234,308,348,290,NA,NA
Auburn,19,10,1592.26,49,43,57,256,SEC,South
Austin Peay,13,14,1237.4,221,189,328,329,ASUN,South
Ball State,24,4,1610.13,43,75,161,96,NA,NA
Baylor,23,6,1717.11,17,16,42,165,Big 12,South
Bellarmine,8,18,1150.55,272,283,179,95,ASUN,South
Belmont,22,7,1607.35,46,69,101,35,MVC,Southwest
Bethune-Cookman,12,15,1069.48,312,247,320,282,SWAC,Southwest
Binghamton,11,16,1227.12,229,232,357,360,America East,East
Boise State,17,11,1344.19,153,131,208,289,NA,West
Boston College,13,18,1365.36,139,87,46,179,ACC,East
Boston University,17,10,1336.21,156,230,306,209,NA,East
Bowling Green,15,12,1361.68,141,171,100,33,MAC,South
Bradley,5,23,960.83,339,332,259,352,MVC,Southwest
Brown,14,11,1301.81,181,166,131,295,Ivy League,East
Bryant,13,14,1225.26,231,281,332,327,America East,East
Bucknell,12,16,1320.9,163,275,178,64,Patriot,East
Buffalo,15,11,1365.79,137,186,291,333,MAC,South
Butler,13,15,1331.24,159,128,77,234,Big East,East
BYU,16,15,1437.09,105,79,64,228,Big 12,South
Cal Poly,16,11,1348.57,151,143,124,25,Big West,West
Cal State Bakersfield,7,20,1026.26,325,290,330,296,NA,West
Cal State Fullerton,10,18,1120.89,287,241,269,173,NA,West
Cal State Northridge,3,25,896.55,354,341,239,104,NA,West
California,17,13,1455.89,95,62,14,128,Pac-12,West
California Baptist,24,3,1568.62,54,129,356,355,WAC,West
