Team,Wins,Losses,ELO,Conference,Region,Ranking.Estimate.1
California Baptist,24,1,1536.37,WAC,West,1568
Stanford,31,2,1946.53,Pac-12,West,1551.515152
Connecticut,28,2,1864.84,Big East,East,1546.666667
Baylor,28,3,1844.63,Big 12,South,1522.580645
Bucknell,9,1,1553.54,Patriot,East,1520
Maryland,26,3,1797.77,Big Ten,Midwest,1517.241379
Texas A&M,25,3,1791.34,SEC,South,1514.285714
FGCU,24,3,1623.54,ASUN,South,1511.111111
Missouri State,22,3,1719.44,MVC,Midwest,1504
North Carolina State,22,3,1798.22,ACC,East,1504
Stephen F. Austin,22,3,1591.91,Southland,South,1504
Louisville,26,4,1791.46,ACC,East,1493.333333
Gonzaga,23,4,1671.56,WCC,West,1481.481481
Rice,23,4,1650.56,AAC,East,1481.481481
Maine,17,3,1468.26,America East,East,1480
Idaho State,21,4,1542.32,Big Sky,West,1472
South Dakota State,21,4,1619.36,Summit League,Midwest,1472
South Carolina,26,5,1833.04,SEC,South,1470.967742
South Florida,19,4,1658.76,AAC,East,1460.869565
Delaware,23,5,1555.84,CAA,East,1457.142857
Marist,18,4,1504.37,MAAC,East,1454.545455
North Carolina A&T,13,3,1429.34,MEAC,South,1450
UC Davis,13,3,1495.55,Big West,West,1450
Alabama State,16,4,1359.34,SWAC,South,1440
Boston University,12,3,1462.48,Patriot,East,1440
Howard,15,4,1362.59,MEAC,South,1431.578947
Tennessee-Martin,22,6,1558.31,OVC,Midwest,1428.571429
Arizona,21,6,1787.34,Pac-12,West,1422.222222
Belmont,21,6,1587.41,MVC,Midwest,1422.222222
Indiana,21,6,1731.06,Big Ten,Midwest,1422.222222
Troy,20,6,1560.83,Sun Belt,South,1415.384615
UCF,16,5,1584.93,Big 12,South,1409.52381
BYU,19,6,1566.3,Big 12,South,1408
West Virginia,22,7,1636.18,Big 12,South,1406.896552
Duke,3,1,1515.06,ACC,East,1400
Georgia,21,7,1655.06,SEC,South,1400
High Point,21,7,1456.54,Big South,South,1400
IUPUI,15,5,1495.79,Horizon,Midwest,1400
Jackson State,18,6,1493.91,SWAC,South,1400
Morgan State,12,4,1375.38,MEAC,South,1400
South Dakota,18,6,1569.93,Summit League,Midwest,1400
UCLA,17,6,1695.41,Pac-12,West,1391.304348
Dayton,14,5,1472.59,Atlantic 10,East,1389.473684
New Mexico,14,5,1380.11,Mountain West,West,1389.473684
Rutgers,14,5,1585.49,Big Ten,Midwest,1389.473684
Saint Louis,14,5,1525.13,Atlantic 10,East,1389.473684
