"Team","Wins","Losses","ELO","Conference","Region","Ranking.Estimate.1"
"Abilene Christian",12,15,1225.45,"WAC","West",1155.55555555556
"Air Force",11,18,1193.5,"Mountain West","West",1103.44827586207
"Akron",15,13,1325.01,"MAC","Midwest",1228.57142857143
"Alabama",20,11,1503.63,"SEC","South",1316.12903225806
"Alabama A&M",14,15,1194.58,"SWAC","South",1186.20689655172
"Alabama State",15,15,1222.58,"SWAC","South",1200
"Albany",22,12,1398.02,"MAAC","East",1317.64705882353
"Alcorn State",10,17,1088.78,"SWAC","South",1096.2962962963
"American",9,22,1152.34,"Patriot","East",1032.25806451613
"Appalachian State",9,20,1202.97,"Sun Belt","South",1048.27586206897
"Arizona",22,10,1606.24,"Pac-12","West",1350
"Arizona State",8,20,1283.45,"Pac-12","West",1028.57142857143
"Arkansas",24,13,1563.36,"SEC","South",1318.91891891892
"Arkansas-Pine Bluff",13,17,1225.75,"SWAC","South",1146.66666666667
"Arkansas State",12,19,1242.42,"Sun Belt","South",1109.67741935484
"Army",12,17,1239.28,"Patriot","East",1131.03448275862
"Auburn",16,15,1441.27,"SEC","South",1212.90322580645
"Austin Peay",16,12,1319.34,"ASUN","South",1257.14285714286
"Ball State",25,9,1521.1,"MAC","Midwest",1388.23529411765
"Baylor",20,13,1569.07,"Big 12","South",1284.84848484848
"Bellarmine",7,22,1075.99,"ASUN","South",993.103448275862
"Belmont",23,12,1559.55,"MVC","Midwest",1325.71428571429
"Bethune-Cookman",11,18,1117.72,"SWAC","South",1103.44827586207
"Binghamton",11,17,1084.25,"America East","East",1114.28571428571
"Boise State",15,16,1298.4,"Mountain West","West",1187.09677419355
"Boston College",16,17,1413.51,"ACC","East",1187.87878787879
"Boston University",24,9,1438.16,"Patriot","East",1381.81818181818
"Bowling Green",30,7,1623.18,"MAC","Midwest",1448.64864864865
"Bradley",3,28,991.23,"MVC","Midwest",877.41935483871
"Brown",10,15,1202.36,"Ivy League","East",1120
"Bryant",7,21,1023.86,"America East","East",1000
"Bucknell",13,17,1233.3,"Patriot","East",1146.66666666667
"Buffalo",12,15,1314.88,"MAC","Midwest",1155.55555555556
"Butler",11,19,1278.82,"Big East","East",1093.33333333333
"BYU",15,17,1356.13,"Big 12","South",1175
"Cal Poly",9,18,1115.65,"Big West","West",1066.66666666667
"Cal State Bakersfield",8,23,1067.01,"Big West","West",1006.45161290323
"Cal State Fullerton",14,16,1222.02,"Big West","West",1173.33333333333
"Cal State Northridge",7,24,1038.8,"Big West","West",980.645161290323
"California",13,17,1368.42,"Pac-12","West",1146.66666666667
"California Baptist",22,13,1486.38,"WAC","West",1302.85714285714
"Campbell",14,15,1186.44,"CAA","East",1186.20689655172
"Canisius",9,21,1064.96,"MAAC","East",1040
"Central Arkansas",6,18,1045.97,"ASUN","South",1000
"Central Connecticut",7,22,948.5,"NEC","East",993.103448275862
"Central Michigan",6,23,1112.41,"MAC","Midwest",965.51724137931
"Charleston",9,18,1148.74,"CAA","East",1066.66666666667
"Charleston Southern",4,25,937.05,"Big South","South",910.344827586207
"Charlotte",12,19,1237.57,"AAC","East",1109.67741935484
"Chattanooga",18,13,1360.88,"SoCon","South",1264.51612903226
"Chicago State",4,21,980.69,"NEC","East",928
"Cincinnati",9,21,1178.2,"Big 12","South",1040
"Clemson",19,16,1484.07,"ACC","East",1234.28571428571
"Cleveland State",30,5,1589.64,"Horizon","Midwest",1485.71428571429
"Coastal Carolina",12,16,1267.46,"Sun Belt","South",1142.85714285714
"Colgate",15,14,1222.99,"Patriot","East",1213.79310344828
"Colorado",25,9,1683.11,"Pac-12","West",1388.23529411765
"Colorado State",18,12,1385.4,"Mountain West","West",1280
"Columbia",28,6,1641.24,"Ivy League","East",1458.82352941176
"Connecticut",31,6,1793.94,"Big East","East",1470.27027027027
"Coppin State",8,22,1066.44,"MEAC","South",1013.33333333333
"Cornell",9,17,1157.79,"Ivy League","East",1076.92307692308
"Creighton",22,9,1628.59,"Big East","East",1367.74193548387
"Dartmouth",2,26,971.09,"Ivy League","East",857.142857142857
"Davidson",14,16,1318.4,"Atlantic 10","East",1173.33333333333
"Dayton",6,21,1251.22,"Atlantic 10","East",977.777777777778
"Delaware",16,14,1294.93,"CAA","East",1226.66666666667
"Delaware State",5,19,1046.66,"MEAC","South",966.666666666667
"Denver",11,18,1174.88,"Summit League","Midwest",1103.44827586207
"DePaul",16,17,1417.59,"Big East","East",1187.87878787879
"Detroit",4,25,1000.78,"Horizon","Midwest",910.344827586207
"Drake",22,10,1561.03,"MVC","Midwest",1350
"Drexel",21,10,1380.3,"CAA","East",1341.93548387097
"Duke",26,7,1697.8,"ACC","East",1430.30303030303
"Duquesne",18,12,1336.41,"Atlantic 10","East",1280
